City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
589,Cabinda,AO,73.65,overcast clouds,-5.55,12.2,Hotel Maiombe
590,Wamba,NG,70.27,light rain,8.9333,8.6,Roma Zee Guest House Annex
591,Nata,PA,75.07,overcast clouds,8.3333,-80.5167,Rey David
593,Nara,JP,73.49,scattered clouds,34.6851,135.8049,Guesthouse Nara Komachi
596,Komsomolskiy,UZ,66.92,scattered clouds,40.4272,71.7189,Ikathouse
598,Alice Springs,AU,65.75,clear sky,-23.7,133.8833,Desert Palms Alice Springs
599,Kilis,TR,73.63,clear sky,36.7161,37.115,Otel Kilis Mer-tur Otel Ve Mado Cafe
606,Luang Prabang,LA,75.33,overcast clouds,19.8856,102.1347,The Luang Say Residence
607,Foumban,CM,61.25,light rain,5.7291,10.9001,Hotel Pekassa De Karche
608,Pangkalanbuun,ID,78.4,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
611,Kismayo,SO,76.55,scattered clouds,-0.3582,42.5454,Agan-Hotel
623,Fuerte Olimpo,PY,74.01,few clouds,-21.0415,-57.8738,Hospedaje DAMI
627,Arona,ES,66.72,few clouds,28.0996,-16.681,Paradise Court
628,Kirakira,SB,78.84,overcast clouds,-10.4544,161.9205,SanBiz Lodge
631,Pleasanton,US,74.55,few clouds,37.6624,-121.8747,Four Points by Sheraton Pleasanton
633,Brainerd,US,73.18,clear sky,46.358,-94.2008,"Holiday Inn Express & Suites Brainerd-Baxter, an IHG Hotel"
636,Neiafu,TO,79.48,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
640,Marawi,PH,75.87,overcast clouds,7.9986,124.2928,Derogongan Residence
641,North Bend,US,66.24,overcast clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
644,Garowe,SO,76.55,scattered clouds,8.4054,48.4845,Curubo Hotel
646,Yulara,AU,67.6,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
648,Pakxe,LA,74.82,overcast clouds,15.1167,105.7833,Champasak Palace Hotel
653,Asilah,MA,75.16,clear sky,35.465,-6.0348,Hotel Zelis
654,Ballina,AU,71.02,moderate rain,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
656,Smithers,CA,64.72,few clouds,54.7804,-127.1743,"Prestige Hudson Bay Lodge, Premier Collection"
658,Gambela,ET,72.23,overcast clouds,8.25,34.5833,Solomon Debebe Hotel
662,San Isidro,PE,62.02,overcast clouds,-12.1167,-77.05,Radisson Hotel Decapolis Miraflores
663,Kilindoni,TZ,74.82,overcast clouds,-7.9139,39.6668,Bustani B&B
664,Tianmen,CN,66.81,overcast clouds,30.6516,113.1603,Tianmen Luyu Hotel
665,Sandakan,MY,78.8,overcast clouds,5.8402,118.1179,Hotel Sandakan
667,Sault Sainte Marie,CA,64.96,clear sky,46.5168,-84.3333,Comfort Inn
669,Hirado,JP,73.38,broken clouds,33.3597,129.5531,Samson Hotel
677,Cabedelo,BR,74.07,clear sky,-6.9811,-34.8339,Pousada Camboinha
679,Zhangye,CN,67.95,overcast clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
683,Am Timan,TD,69.33,scattered clouds,11.0297,20.2827,Palais du chef Canton Salamt
